Date,Price,Open,High,Low,Vol.,Change %
2/8/2023,101.1,102.05,103.11,100.59,20.26M,-6.08%
2/7/2023,107.64,103.22,108.18,103.12,48.13M,4.61%
2/6/2023,102.9,102.4,104.36,101.88,31.63M,-1.79%
2/3/2023,104.78,102.93,107.81,102.58,65.31M,-2.75%
2/2/2023,107.74,105.8,107.85,105.61,66.96M,7.28%
2/1/2023,100.43,98.71,101.19,97.58,33.58M,1.61%
1/31/2023,98.84,96.87,98.88,96.82,29.87M,1.96%
1/30/2023,96.94,97.48,98.29,96.39,26.98M,-2.45%
1/27/2023,99.37,97.31,100.32,97.31,33.88M,1.90%
1/26/2023,97.52,96.5,97.57,95.38,30.04M,2.42%
1/25/2023,95.22,95.57,96.16,93.76,42.20M,-2.54%
1/24/2023,97.7,98.1,99.61,97.2,32.70M,-2.09%
1/23/2023,99.79,97.95,100.04,97.5,39.91M,1.81%
1/20/2023,98.02,95.1,98.3,95.02,63.19M,5.34%
1/19/2023,93.05,90.72,93.61,90.63,36.90M,2.12%
1/18/2023,91.12,92.14,92.8,90.64,29.12M,-0.19%
1/17/2023,91.29,92.06,92.25,90.05,32.53M,-0.90%
1/13/2023,92.12,90.85,92.19,90.13,26.33M,1.09%
1/12/2023,91.13,91.48,91.87,89.75,30.13M,-0.43%
1/11/2023,91.52,89.18,91.6,89.01,26.74M,3.51%
1/10/2023,88.42,85.98,88.67,85.83,30.39M,0.45%
1/9/2023,88.02,88.36,90.05,87.86,28.91M,0.78%
1/6/2023,87.34,86.79,87.69,84.86,41.38M,1.32%
1/5/2023,86.2,87.47,87.57,85.9,26.94M,-2.13%
1/4/2023,88.08,90.35,90.65,87.27,33.84M,-1.17%
1/3/2023,89.12,89.58,91.05,88.52,28.08M,1.01%
12/30/2022,88.23,86.98,88.3,86.57,23.99M,-0.25%
12/29/2022,88.45,86.62,88.85,86.61,22.60M,2.82%
12/28/2022,86.02,86.98,88.04,85.94,19.02M,-1.57%
12/27/2022,87.39,88.79,88.94,87.01,19.68M,-2.06%
12/23/2022,89.23,87.11,89.54,87.07,23.00M,1.68%
12/22/2022,87.76,88.16,88.54,86.32,27.43M,-2.03%
12/21/2022,89.58,89.08,90.22,88.32,24.71M,0.63%
12/20/2022,89.02,88.11,89.18,87.44,23.18M,0.66%
12/19/2022,88.44,90.25,90.56,88.21,28.77M,-2.02%
12/16/2022,90.26,90.76,91.33,89.52,58.01M,-0.66%
12/15/2022,90.86,93.13,93.64,90.01,39.96M,-4.43%
12/14/2022,95.07,95.2,96.87,93.6,28.73M,-0.59%
12/13/2022,95.63,97.76,99.53,95.03,40.52M,2.49%
12/12/2022,93.31,92.71,93.56,91.61,29.42M,0.52%
12/9/2022,92.83,93.77,94.26,92.75,28.23M,-0.94%
12/8/2022,93.71,95.38,95.58,93.45,32.14M,-1.30%
12/7/2022,94.94,96.41,96.88,94.71,30.98M,-2.10%
12/6/2022,96.98,99.3,99.78,96.42,24.85M,-2.51%
12/5/2022,99.48,99.4,101.38,99,24.31M,-0.96%
12/2/2022,100.44,99.05,100.77,98.9,21.48M,-0.54%
12/1/2022,100.99,101.02,102.25,100.25,28.69M,0.00%
11/30/2022,100.99,94.82,101.04,94.42,43.65M,6.09%
11/29/2022,95.19,95.73,96.12,94.11,20.06M,-0.90%
11/28/2022,96.05,97.04,97.58,95.61,26.25M,-1.45%
11/25/2022,97.46,98.24,98.64,97.4,9.70M,-1.02%
11/23/2022,98.46,97.09,98.76,97.09,18.87M,1.45%
11/22/2022,97.05,95.95,97.22,94.05,23.44M,1.52%
11/21/2022,95.6,97.29,98.4,95.36,21.65M,-1.88%
11/18/2022,97.43,98.77,98.9,96.37,28.34M,-0.95%
11/17/2022,98.36,96.97,99.28,96.79,26.05M,-0.50%
11/16/2022,98.85,97.9,99.64,97.64,29.11M,0.42%
11/15/2022,98.44,98.26,100.14,96.71,41.64M,2.86%
11/14/2022,95.7,95.09,96.79,94.51,30.18M,-0.74%
11/11/2022,96.41,94.69,96.93,93.92,33.09M,2.63%
11/10/2022,93.94,92.25,94.39,91.61,51.62M,7.58%
11/9/2022,87.32,88.45,89.43,87.28,31.77M,-1.78%
11/8/2022,88.9,88.9,90.32,87.59,30.43M,0.46%
11/7/2022,88.49,87.28,88.9,86.85,34.08M,2.21%
11/4/2022,86.58,85.4,86.64,83.71,51.12M,3.78%
11/3/2022,83.43,86.32,86.52,83.34,61.29M,-4.07%
11/2/2022,86.97,90.94,91.18,86.88,57.04M,-3.87%
11/1/2022,90.47,95.45,96.03,90.37,47.16M,-4.27%
10/31/2022,94.51,95.42,96.03,93.98,31.68M,-1.85%
10/28/2022,96.29,92.27,96.55,92.13,43.70M,4.41%
10/27/2022,92.22,94.52,95.43,91.8,60.71M,-2.85%
10/26/2022,94.93,96.43,98.31,94.69,88.28M,-9.14%
10/25/2022,104.48,102.9,104.82,102.72,40.61M,1.91%
10/24/2022,102.52,101.8,102.75,99.98,27.18M,1.37%
10/21/2022,101.13,97.85,101.31,97.72,32.46M,1.16%
10/20/2022,99.97,100,102.32,99.39,25.32M,0.34%
10/19/2022,99.63,100.01,101.02,98.92,23.81M,-1.13%
10/18/2022,100.77,103.13,103.47,99.97,24.06M,0.80%
10/17/2022,99.97,98.86,100.93,98.83,28.42M,3.53%
10/14/2022,96.56,99.99,100.69,96.37,25.41M,-2.52%
10/13/2022,99.06,95.15,99.78,94.38,34.57M,1.54%
10/12/2022,97.56,97.3,98.75,96.74,21.88M,0.39%
10/11/2022,97.18,97.43,99.25,96.31,26.51M,-0.69%
10/10/2022,97.86,99,99.1,97.01,18.23M,-0.83%
10/7/2022,98.68,99.85,100.53,98.29,27.50M,-2.70%
10/6/2022,101.42,100.68,102.93,100.59,22.32M,-0.01%
10/5/2022,101.43,99.82,101.93,98.8,22.18M,-0.21%
10/4/2022,101.64,100.44,101.84,100.38,28.85M,3.04%
10/3/2022,98.64,96.76,99.29,96.52,27.98M,3.13%
9/30/2022,95.65,97.05,98.9,95.56,32.94M,-1.82%
9/29/2022,97.42,98.64,98.64,95.96,31.05M,-2.63%
9/28/2022,100.05,97.65,100.7,97.11,32.47M,2.62%
9/27/2022,97.5,99.43,100,96.87,30.07M,-0.68%
9/26/2022,98.17,98.1,99.88,97.8,27.07M,-0.58%
9/23/2022,98.74,99.63,99.66,97.47,31.63M,-1.40%
9/22/2022,100.14,98.82,101.24,98.79,34.30M,0.87%
9/21/2022,99.28,101.67,102.88,99.27,31.49M,-1.84%
9/20/2022,101.14,102.08,102.37,100.52,26.52M,-1.87%
9/19/2022,103.07,101.75,103.33,101.55,23.04M,0.26%
9/16/2022,102.8,102.07,103.13,100.94,42.80M,-0.11%
9/15/2022,102.91,104.03,105.27,102.35,34.19M,-1.99%
9/14/2022,105,104.57,105.28,103.66,26.40M,0.65%
9/13/2022,104.32,107.8,108.3,104.09,38.17M,-5.90%
9/12/2022,110.86,110.99,111.62,109.93,22.97M,0.19%
9/9/2022,110.65,109.07,110.99,109.02,23.21M,2.09%
9/8/2022,108.38,108.04,109.6,107.16,24.24M,-0.98%
9/7/2022,109.45,107.06,109.98,106.9,23.17M,2.47%
9/6/2022,106.81,107.3,108.03,105.78,25.07M,-0.96%
9/2/2022,107.85,110.59,110.74,107.26,24.16M,-1.72%
9/1/2022,109.74,108.28,110.44,107.36,28.36M,1.40%
8/31/2022,108.22,110.65,110.85,108.13,28.63M,-0.66%
8/30/2022,108.94,110.17,110.5,107.8,27.51M,-0.44%
8/29/2022,109.42,109.99,110.95,108.8,21.19M,-0.83%
8/26/2022,110.34,114.72,115.12,110.19,37.25M,-5.41%
8/25/2022,116.65,114.24,116.72,114.11,16.96M,2.60%
8/24/2022,113.69,113.5,114.78,112.87,17.73M,-0.15%
8/23/2022,113.86,113.47,115.01,113.43,15.87M,-0.33%
8/22/2022,114.24,115.2,115.63,113.85,21.46M,-2.53%
8/19/2022,117.21,119.06,119.15,116.76,21.81M,-2.46%
8/18/2022,120.17,119.43,120.82,118.72,17.99M,0.52%
8/17/2022,119.55,120.12,121.29,119.38,22.85M,-1.77%
8/16/2022,121.7,121.52,122.43,120.64,19.04M,-0.31%
8/15/2022,122.08,121.13,122.3,120.61,19.49M,0.33%
8/12/2022,121.68,120.26,121.68,119.46,19.10M,2.39%
8/11/2022,118.84,121.28,121.49,118.56,24.29M,-0.72%
8/10/2022,119.7,118.78,120.92,118.41,30.93M,2.63%
8/9/2022,116.63,117.14,117.32,115.71,19.09M,-0.57%
8/8/2022,117.3,118.39,120.15,116.88,19.17M,-0.14%
8/5/2022,117.47,116.23,118.11,116,19.16M,-0.61%
8/4/2022,118.19,117.48,118.78,116.89,21.60M,0.09%
8/3/2022,118.08,115.71,118.62,115.48,28.50M,2.56%
8/2/2022,115.13,114,116.35,113.72,20.24M,0.24%
8/1/2022,114.86,115.3,116.72,114.34,26.03M,-1.26%
7/29/2022,116.32,113.08,116.71,113.06,37.22M,1.84%
7/28/2022,114.22,112.37,114.34,111.46,32.82M,1.03%
7/27/2022,113.06,109.26,113.91,108.01,59.86M,7.66%
7/26/2022,105.02,106.6,107.2,104.07,47.99M,-2.32%
7/25/2022,107.51,108.41,109.87,106.3,34.69M,-0.36%
7/22/2022,107.9,111,112.34,106.5,48.90M,-5.63%
7/21/2022,114.34,114.28,114.55,111.11,32.68M,0.39%
7/20/2022,113.9,113.17,115.4,112.48,35.60M,0.08%
7/19/2022,113.81,110.85,114.02,109.56,36.53M,4.38%
7/18/2022,109.03,112.64,113.68,108.37,43.16M,-2.46%
7/15/2022,111.78,112,113.14,110.9,46.77M,1.28%
7/14/2022,110.37,110.21,111.09,108.37,37.00M,-0.89%
7/13/2022,111.35,111.7,114.2,111.2,43.72M,-2.34%
7/12/2022,114.02,116.21,116.97,113.69,29.96M,-1.43%
7/11/2022,115.68,118,118,115.33,31.24M,-3.08%
7/8/2022,119.35,117.25,119.68,116.9,38.24M,0.48%
7/7/2022,118.78,115.08,119.19,114.83,40.94M,3.68%
7/6/2022,114.57,113.3,115.59,111.48,37.43M,1.16%
7/5/2022,113.26,107.1,113.38,105.73,39.40M,4.16%
7/1/2022,108.74,107.93,109.25,106.73,35.48M,-0.21%
6/30/2022,108.96,110,110.89,106.75,43.17M,-2.45%
6/29/2022,111.7,111.55,113.16,110.87,24.72M,-0.27%
6/28/2022,112.01,115.8,117.31,111.85,35.88M,-3.30%
6/27/2022,115.83,118.27,118.58,115.18,36.42M,-1.82%
6/24/2022,117.97,113,118.08,112.95,41.16M,5.11%
6/23/2022,112.24,112.23,112.74,110.5,28.36M,0.68%
6/22/2022,111.49,110.56,113.35,110.38,30.77M,-0.05%
6/21/2022,111.54,108.93,112.49,108.6,47.42M,4.11%
6/17/2022,107.14,106.03,108.7,105.05,51.38M,1.05%
6/16/2022,106.03,107.22,108.65,105.14,51.68M,-3.40%
6/15/2022,109.76,108.54,111.42,107.67,39.70M,2.86%
6/14/2022,106.72,106.54,107.92,105.8,33.71M,0.30%
6/13/2022,106.39,106.79,108.79,106.12,47.25M,-4.29%
6/10/2022,111.16,112.44,113.28,110.37,41.48M,-3.20%
6/9/2022,114.84,116.33,118.3,114.78,25.80M,-2.01%
6/8/2022,117.19,116.76,118.57,116.6,26.11M,0.04%
6/7/2022,117.15,115.48,117.69,115.05,31.59M,0.28%
6/6/2022,116.82,116.7,119.35,116.16,33.54M,1.99%
6/3/2022,114.54,116.06,116.32,113.52,26.14M,-2.62%
6/2/2022,117.62,114,117.9,112.95,37.99M,3.28%
6/1/2022,113.89,114.86,117.1,113.25,36.61M,0.11%
5/31/2022,113.76,112.75,115.74,112.08,50.01M,1.29%
5/27/2022,112.32,109.48,112.32,109.14,37.91M,4.20%
5/26/2022,107.79,105.68,108.65,105.22,37.95M,1.88%
5/25/2022,105.81,104.99,106.5,103.86,40.26M,-0.16%
5/24/2022,105.97,105.77,106.46,101.88,76.78M,-4.95%
5/23/2022,111.49,109.59,112.15,108.74,37.18M,2.37%
5/20/2022,108.91,111.95,112.18,105.8,48.96M,-1.34%
5/19/2022,110.38,111.43,113.01,110,34.14M,-1.35%
5/18/2022,111.9,115,115.4,111.56,35.13M,-3.93%
5/17/2022,116.47,116.84,116.9,114.87,23.05M,1.77%
5/16/2022,114.44,114.96,116.17,113.89,25.99M,-1.38%
5/13/2022,116.05,114.53,117.88,113.61,35.04M,2.84%
5/12/2022,112.84,111.38,114.29,109.82,53.84M,-0.67%
5/11/2022,113.6,113.24,116.36,113.24,37.53M,-0.69%
5/10/2022,114.39,115.51,116.25,112.9,39.90M,1.67%
5/9/2022,112.51,113.25,115.08,112,40.80M,-2.80%
5/6/2022,115.75,115.18,117.57,114.02,39.71M,-0.65%
5/5/2022,116.51,120.2,121.04,115.01,45.84M,-4.71%
5/4/2022,122.26,117.03,122.85,115.12,49.92M,4.20%
5/3/2022,117.33,116.43,118.44,116.03,24.97M,0.64%
5/2/2022,116.58,113.4,116.75,112.6,35.53M,2.17%
4/29/2022,114.11,116.73,117.92,113.81,42.68M,-3.72%
4/28/2022,118.52,116.42,119.65,114.11,48.88M,3.70%
4/27/2022,114.29,114.47,117.24,112.74,91.82M,-3.67%
4/26/2022,118.65,122.29,122.51,118.51,73.05M,-3.59%
4/25/2022,123.07,119.1,123.28,118.51,46.13M,2.87%
4/22/2022,119.64,125,125.4,118.93,56.88M,-4.15%
4/21/2022,124.81,129.25,130.1,124.53,36.45M,-2.52%
4/20/2022,128.04,130.89,131.4,127.5,31.70M,-1.51%
4/19/2022,130.01,127.69,130.33,127,26.49M,1.83%
4/18/2022,127.68,127,128.21,126.18,20.81M,0.75%
4/14/2022,126.73,130.48,130.48,126.6,31.60M,-2.44%
4/13/2022,129.89,128,130.33,127.74,27.93M,1.71%
4/12/2022,127.71,131.6,131.6,126.79,32.71M,-0.86%
4/11/2022,128.82,131.82,132.09,128.67,36.88M,-3.35%
4/8/2022,133.29,135.58,135.67,132.97,25.14M,-1.91%
4/7/2022,135.89,136.01,137.16,134.23,26.23M,-0.48%
4/6/2022,136.55,138.75,139.36,135.52,32.47M,-2.88%
4/5/2022,140.59,142.87,142.99,140.38,21.42M,-1.67%
4/4/2022,142.97,140.36,143.71,140.31,25.97M,2.01%
4/1/2022,140.15,139.5,140.47,138.31,25.94M,0.78%
3/31/2022,139.07,142.05,142.11,139.02,37.52M,-2.02%
3/30/2022,141.94,142.46,142.72,141.6,19.88M,-0.40%
3/29/2022,142.51,142.65,143.79,142.04,34.32M,0.74%
3/28/2022,141.46,140.9,142,139.81,35.05M,-0.15%
3/25/2022,141.67,141.92,142.04,139.74,24.14M,0.07%
3/24/2022,141.57,139.2,141.62,137.75,26.40M,2.38%
3/23/2022,138.28,138.7,139.59,137.84,25.15M,-1.14%
3/22/2022,139.87,136.1,141.05,136.1,35.50M,2.77%
3/21/2022,136.1,136.16,137.05,134.09,26.83M,-0.02%
3/18/2022,136.13,133.42,136.24,132.26,44.57M,1.71%
3/17/2022,133.84,133.15,134.08,132.18,28.26M,0.42%
3/16/2022,133.28,130.73,133.33,128.73,35.58M,3.16%
3/15/2022,129.2,126.98,129.85,125.72,30.92M,2.58%
3/14/2022,125.95,130.25,130.41,125.28,38.81M,-3.02%
3/11/2022,129.87,133.49,133.8,129.63,31.53M,-1.93%
3/10/2022,132.43,131.27,133.27,130.91,27.10M,-0.74%
3/9/2022,133.42,131.25,133.74,129.9,37.03M,4.97%
3/8/2022,127.1,126.25,131.25,125.67,40.43M,0.57%
3/7/2022,126.38,131.49,131.74,126.29,45.11M,-4.19%
3/4/2022,131.91,132.93,133.85,130.34,30.45M,-1.49%
3/3/2022,133.9,136.01,136.44,133.03,24.60M,-0.50%
3/2/2022,134.57,134.63,135.26,133.07,23.52M,0.38%
3/1/2022,134.06,134.88,136.26,133.22,26.50M,-0.74%
2/28/2022,135.06,133.05,135.75,132.59,38.86M,0.44%
2/25/2022,134.46,133.55,135.27,131.75,36.41M,1.33%
2/24/2022,132.69,124.95,133,124.95,54.46M,4.00%
2/23/2022,127.59,131.65,132.05,127.53,32.79M,-1.71%
2/22/2022,129.81,129.84,132.18,128.22,44.99M,-0.45%
2/18/2022,130.4,133.47,134.07,130.2,45.62M,-1.61%
2/17/2022,132.54,136.24,137.11,132.48,38.95M,-3.77%
2/16/2022,137.74,136.65,138.09,134.92,25.02M,0.83%
2/15/2022,136.61,137.57,138.11,135.82,26.71M,0.80%
2/14/2022,135.53,133.26,136.3,133.26,34.30M,0.93%
2/11/2022,134.28,138.6,139.16,133.4,39.96M,-3.13%
2/10/2022,138.62,139.7,141.48,137.96,39.33M,-2.10%
2/9/2022,141.59,140.96,142.52,140.19,40.14M,1.57%
2/8/2022,139.4,139.03,140,137.01,54.28M,0.14%
2/7/2022,139.2,144.25,144.25,138.9,54.97M,-2.86%
2/4/2022,143.29,143.44,144.88,140.51,58.00M,0.14%
2/3/2022,143.09,145.71,149.68,142.67,71.52M,-3.32%
2/2/2022,148,151.25,151.55,145.52,123.20M,7.52%
2/1/2022,137.64,137.59,137.79,134.37,68.64M,1.73%
1/31/2022,135.3,134.16,135.47,132.21,39.99M,1.46%
1/28/2022,133.35,129.66,133.36,128.49,34.36M,3.37%
1/27/2022,129.01,131.3,132.65,128.93,32.02M,-0.18%
1/26/2022,129.23,131.12,133,127.14,49.13M,1.81%
1/25/2022,126.93,128.74,129.4,126.5,46.96M,-2.96%
1/24/2022,130.8,125.98,131.2,124.5,76.69M,0.35%
1/21/2022,130.35,132.59,134.87,130.09,55.65M,-2.22%
1/20/2022,133.31,136.25,137.63,132.96,29.91M,-1.34%
1/19/2022,135.12,136.52,137.96,135.02,28.65M,-0.65%
1/18/2022,136,136.18,137.13,135.44,34.89M,-2.50%
1/14/2022,139.48,137.08,140.74,137,29.66M,0.64%
1/13/2022,138.59,141.54,142.85,138.41,31.44M,-2.01%
1/12/2022,141.43,141.15,142.61,140.69,26.11M,1.21%
1/11/2022,139.74,138.01,140.22,136.69,28.73M,0.77%
1/10/2022,138.67,135.08,138.82,133.16,44.41M,1.21%
1/7/2022,137.02,138.15,138.45,135.77,29.76M,-0.53%
1/6/2022,137.75,137,139.94,136.56,37.35M,-0.02%
1/5/2022,137.77,144.42,144.5,137.69,54.62M,-4.59%
1/4/2022,144.4,145.4,146.48,143.72,28.40M,-0.41%
1/3/2022,144.99,145.05,145.85,143.71,28.68M,0.10%
12/31/2021,144.85,146.05,146.7,144.85,18.14M,-0.92%
12/30/2021,146.2,146.69,147.3,145.99,15.69M,-0.31%
12/29/2021,146.65,146.64,147.42,145.65,17.79M,-0.02%
12/28/2021,146.69,148.24,148.3,146.05,18.25M,-0.82%
12/27/2021,147.91,147.26,148.34,147.17,15.98M,0.67%
12/23/2021,146.92,146.5,148.24,146.45,26.38M,0.34%
12/22/2021,146.41,143.07,146.5,143.07,26.32M,2.05%
12/21/2021,143.47,142.05,143.87,140.5,28.76M,1.32%
12/20/2021,141.61,140,141.77,139.32,27.19M,-0.08%
12/17/2021,141.73,142.5,143.83,141.3,51.02M,-1.88%
12/16/2021,144.45,147.17,147.68,143.61,33.65M,-1.36%
12/15/2021,146.44,143.41,146.72,141.68,36.37M,1.76%
12/14/2021,143.91,143.97,144.48,141.21,38.45M,-1.32%
12/13/2021,145.83,147.78,147.97,145.52,27.07M,-1.47%
12/10/2021,148,148.7,148.98,146.7,24.46M,0.25%
12/9/2021,147.64,147.59,149.1,147.12,23.27M,-0.37%
12/8/2021,148.19,147.6,148.39,146.41,24.27M,0.62%
12/7/2021,147.27,145.6,147.53,145.23,32.24M,2.87%
12/6/2021,143.15,143.04,143.85,140.15,30.62M,0.81%
12/3/2021,142,143.68,144.4,140.3,41.23M,-0.67%
12/2/2021,142.97,141.25,143.86,140.21,29.19M,1.36%
12/1/2021,141.05,144,145.95,140.91,34.06M,-0.60%
11/30/2021,141.9,145.01,146,141.6,42.07M,-2.50%
11/29/2021,145.53,144,146.3,143.89,32.60M,2.35%
11/26/2021,142.18,144.35,144.56,141.84,30.47M,-2.69%
11/24/2021,146.12,145.47,146.25,144.37,18.04M,0.23%
11/23/2021,145.78,146.15,146.66,144.12,27.23M,-0.36%
11/22/2021,146.3,149.33,149.83,146.15,30.63M,-1.76%
11/19/2021,148.93,149.98,150.97,148.9,33.70M,-0.61%
11/18/2021,149.84,148.24,150.58,147.88,35.63M,1.21%
11/17/2021,148.05,148.03,148.56,147.24,19.60M,0.12%
11/16/2021,147.88,148.15,148.76,147.31,18.90M,-0.39%
11/15/2021,148.45,148.9,149.55,147.57,23.51M,-0.15%
11/12/2021,148.68,146.62,148.85,145.41,22.36M,2.00%
11/11/2021,145.77,146.49,147.54,145.6,16.52M,-0.09%
11/10/2021,145.89,147.5,148.07,144.54,29.97M,-2.03%
11/9/2021,148.92,149.23,149.83,147.24,19.53M,-0.08%
11/8/2021,149.03,149.82,150.61,148.43,23.05M,0.12%
11/5/2021,148.85,149.17,150.33,148.2,38.35M,0.39%
11/4/2021,148.27,147.12,149.73,146.31,38.41M,1.14%
11/3/2021,146.6,145.9,146.67,144.59,27.49M,0.80%
11/2/2021,145.43,144.58,146.61,144.34,33.48M,1.35%
11/1/2021,143.5,148.05,148.05,143.23,46.92M,-3.07%
10/29/2021,148.05,145.08,148.24,144.65,43.32M,1.51%
10/28/2021,145.85,147.13,147.16,144.63,36.21M,-0.25%
10/27/2021,146.22,139.4,148.65,139.4,85.78M,4.96%
10/26/2021,139.31,139.26,140.08,138.3,49.24M,1.35%
10/25/2021,137.45,137.55,138,135.42,34.41M,-0.09%
10/22/2021,137.57,139.15,140.58,136.06,50.59M,-3.04%
10/21/2021,141.89,141.77,142.16,140.5,26.29M,0.08%
10/20/2021,141.77,143.34,143.55,141.38,23.29M,-1.02%
10/19/2021,143.24,143.39,143.66,142.6,20.16M,0.32%
10/18/2021,142.78,141.08,142.8,141.07,20.40M,1.00%
10/15/2021,141.37,141.61,141.72,140.76,30.27M,0.15%
10/14/2021,141.15,139.47,141.34,138.82,31.93M,2.59%
10/13/2021,137.58,137.4,138,136.52,19.66M,0.83%
10/12/2021,136.45,139.48,139.51,135.76,36.33M,-1.77%
10/11/2021,138.91,139.29,140.71,138.86,17.95M,-0.62%
10/8/2021,139.79,139.58,140.33,139.22,26.53M,0.40%
10/7/2021,139.23,138.89,140.04,138.65,25.11M,1.21%
10/6/2021,137.57,134.75,137.75,134.55,24.36M,1.13%
10/5/2021,136.02,134.04,137.22,134.04,32.40M,1.77%
10/4/2021,133.66,135.96,135.96,131.05,51.20M,-2.11%
10/1/2021,136.54,134.45,136.91,134.07,35.36M,2.14%
9/30/2021,133.68,134.26,135.54,133.56,38.03M,-0.50%
9/29/2021,134.35,136.98,137.15,133.87,30.85M,-1.09%
9/28/2021,135.83,138.65,139.1,135.36,45.77M,-3.72%
9/27/2021,141.07,140.8,141.94,140.07,21.88M,-0.80%
9/24/2021,142.21,140.54,142.33,140.24,22.98M,0.71%
9/23/2021,141.22,140.99,141.7,140.4,20.95M,0.66%
9/22/2021,140.28,139.3,140.89,138.55,25.06M,0.90%
9/21/2021,139.03,139.75,140.01,138.28,25.33M,0.23%
9/20/2021,138.72,138.16,139,136.32,46.52M,-1.48%
9/17/2021,140.8,143.03,143.45,140.47,53.38M,-1.96%
9/16/2021,143.61,143.95,144.3,142.4,26.20M,-0.57%
9/15/2021,144.43,142.77,144.45,141.35,27.41M,1.32%
9/14/2021,142.54,143,143.36,141.75,19.67M,0.15%
9/13/2021,142.33,141.95,142.95,141.25,22.09M,1.03%
9/10/2021,140.88,144.21,144.72,140.74,36.84M,-1.86%
9/9/2021,143.54,143.84,144.31,143.18,15.32M,-0.10%
9/8/2021,143.69,144.1,144.4,143,18.35M,-0.41%
9/7/2021,144.28,143.83,144.57,143.62,20.13M,0.38%
9/3/2021,143.74,143.08,144.15,142.4,19.85M,0.32%
9/2/2021,143.29,145.22,145.52,143.18,32.36M,-1.33%
9/1/2021,145.22,145,146.25,144.88,21.94M,0.36%
8/31/2021,144.7,145.15,145.17,144.28,22.45M,0.07%
8/30/2021,144.59,144.4,145.97,144.16,24.43M,0.41%
8/27/2021,144,141.65,144.51,141.5,28.78M,1.81%
8/26/2021,141.44,141.75,142.42,141.36,20.61M,-0.45%
8/25/2021,142.08,141.63,142.19,141.38,15.85M,0.58%
8/24/2021,141.26,140.61,142.08,140.34,19.27M,0.87%
8/23/2021,140.04,137.97,140.87,137.61,28.45M,1.90%
8/20/2021,137.43,136,137.55,135.25,31.19M,1.29%
8/19/2021,135.68,134.44,136.35,134.25,21.78M,0.17%
8/18/2021,135.45,136.5,137.1,135.32,19.26M,-0.89%
8/17/2021,136.66,137.75,138.27,136.08,21.72M,-1.19%
8/16/2021,138.31,137.52,138.36,135.3,22.40M,0.42%
8/13/2021,137.73,137.25,137.86,137.03,15.95M,0.39%
8/12/2021,137.19,135.98,137.3,135.43,16.52M,0.67%
8/11/2021,136.28,137.18,137.68,136.27,15.35M,-0.39%
8/10/2021,136.81,137.34,137.77,136.36,19.41M,-0.08%
8/9/2021,136.91,135.94,137.18,135.34,17.77M,0.87%
8/6/2021,135.74,136.04,136.47,135.21,20.49M,-0.38%
8/5/2021,136.25,135.68,136.35,134.85,17.87M,0.83%
8/4/2021,135.13,135.35,135.65,134.49,19.68M,-0.37%
